"","source","target","weight"
"1688","1785_Moritz,KarlPhilipp_AntonReiser_Novel_64000.txt",218,0.59197574689937
"1689","1785_Moritz,KarlPhilipp_AntonReiser_Novel_65000.txt",218,0.780366854609265
"21825","1785_Moritz,KarlPhilipp_AntonReiser_Novel_66000.txt",218,0.532208368690896
"21826","1785_Moritz,KarlPhilipp_AntonReiser_Novel_67000.txt",218,0.623680096643659
"1690","1785_Moritz,KarlPhilipp_AntonReiser_Novel_68000.txt",218,0.701313144289681
"1691","1785_Moritz,KarlPhilipp_AntonReiser_Novel_69000.txt",218,0.720704576048489
"1692","1785_Moritz,KarlPhilipp_AntonReiser_Novel_7000.txt",218,0.509797584405046
"1693","1785_Moritz,KarlPhilipp_AntonReiser_Novel_70000.txt",218,0.605050893004674
"1694","1785_Moritz,KarlPhilipp_AntonReiser_Novel_71000.txt",218,0.707144626906043
"1695","1785_Moritz,KarlPhilipp_AntonReiser_Novel_72000.txt",218,0.567781050688177
"1696","1785_Moritz,KarlPhilipp_AntonReiser_Novel_73000.txt",218,0.677215370585748
"1697","1785_Moritz,KarlPhilipp_AntonReiser_Novel_74000.txt",218,0.541630230563741
"1698","1785_Moritz,KarlPhilipp_AntonReiser_Novel_75000.txt",218,0.541417252974938
"1699","1785_Moritz,KarlPhilipp_AntonReiser_Novel_76000.txt",218,0.59021025055227
"1700","1785_Moritz,KarlPhilipp_AntonReiser_Novel_77000.txt",218,0.671477279301445
"1701","1785_Moritz,KarlPhilipp_AntonReiser_Novel_78000.txt",218,0.582627337610868
"1702","1785_Moritz,KarlPhilipp_AntonReiser_Novel_79000.txt",218,0.524987383344256
"1703","1785_Moritz,KarlPhilipp_AntonReiser_Novel_8000.txt",218,0.452834625232064
"1704","1785_Moritz,KarlPhilipp_AntonReiser_Novel_80000.txt",218,0.626506935216067
"1705","1785_Moritz,KarlPhilipp_AntonReiser_Novel_81000.txt",218,0.740348518199625
"1706","1785_Moritz,KarlPhilipp_AntonReiser_Novel_82000.txt",218,0.511870480599279
"1707","1785_Moritz,KarlPhilipp_AntonReiser_Novel_83000.txt",218,0.66857153247005
"1708","1785_Moritz,KarlPhilipp_AntonReiser_Novel_84000.txt",218,0.64592846560357
"1709","1785_Moritz,KarlPhilipp_AntonReiser_Novel_85000.txt",218,0.53486667455074
"21827","1785_Moritz,KarlPhilipp_AntonReiser_Novel_86000.txt",218,0.549086491932456
"1711","1785_Moritz,KarlPhilipp_AntonReiser_Novel_87000.txt",218,0.410843179958162
"1712","1785_Moritz,KarlPhilipp_AntonReiser_Novel_88000.txt",218,0.61546508485534
"1713","1785_Moritz,KarlPhilipp_AntonReiser_Novel_89000.txt",218,0.737991603992029
"21828","1785_Moritz,KarlPhilipp_AntonReiser_Novel_9000.txt",218,0.322253306550452
"1714","1785_Moritz,KarlPhilipp_AntonReiser_Novel_90000.txt",218,0.650341138031679
"1715","1785_Moritz,KarlPhilipp_AntonReiser_Novel_91000.txt",218,0.554171446513786
"1716","1785_Moritz,KarlPhilipp_AntonReiser_Novel_92000.txt",218,0.411725851321626
"1717","1785_Moritz,KarlPhilipp_AntonReiser_Novel_93000.txt",218,0.687663313703528
"21829","1785_Moritz,KarlPhilipp_AntonReiser_Novel_94000.txt",218,0.490453511612727
"1718","1785_Moritz,KarlPhilipp_AntonReiser_Novel_95000.txt",218,0.626477798533457
"1719","1785_Moritz,KarlPhilipp_AntonReiser_Novel_96000.txt",218,0.867379346430652
"1720","1785_Moritz,KarlPhilipp_AntonReiser_Novel_97000.txt",218,0.697795773053227
"1721","1785_Moritz,KarlPhilipp_AntonReiser_Novel_98000.txt",218,0.440175214791307
"1722","1785_Moritz,KarlPhilipp_AntonReiser_Novel_99000.txt",218,0.77818107672892
"1728","1786_Moritz,KarlPhilipp_AndreasHartknopf_Novel_16000.txt",218,0.216829986420587
"1731","1786_Moritz,KarlPhilipp_AndreasHartknopf_Novel_22000.txt",20,0.215817060566129
"1732","1786_Moritz,KarlPhilipp_AndreasHartknopf_Novel_24000.txt",150,0.444311092141144
"77","1786_Moritz,KarlPhilipp_AndreasHartknopf_Novel_25000.txt",77,0.273601359142872
"1733","1786_Moritz,KarlPhilipp_AndreasHartknopf_Novel_4000.txt",218,0.237400898346753
"21830","1786_Moritz,KarlPhilipp_AndreasHartknopf_Novel_9000.txt",218,0.239118851984872
"2092","1787_Heinse,Johann_Ardinghello_Novel_40000.txt",209,0.249851012331787
"2093","1787_Heinse,Johann_Ardinghello_Novel_41000.txt",209,0.365214332840449
"2662","1787_Heinse,Johann_Ardinghello_Novel_47000.txt",266,0.413101744811171
"2663","1787_Heinse,Johann_Ardinghello_Novel_48000.txt",266,0.288668206569309
"2664","1787_Heinse,Johann_Ardinghello_Novel_50000.txt",266,0.221305891665865
"2094","1787_Heinse,Johann_Ardinghello_Novel_72000.txt",209,0.243543990446527
"2665","1787_Heinse,Johann_Ardinghello_Novel_78000.txt",266,0.288145110291243
"2666","1787_Heinse,Johann_Ardinghello_Novel_79000.txt",266,0.200570718568656
"2667","1787_Heinse,Johann_Ardinghello_Novel_80000.txt",266,0.329821611716132
"2668","1787_Heinse,Johann_Ardinghello_Novel_82000.txt",266,0.261649886613199
"2669","1787_Heinse,Johann_Ardinghello_Novel_83000.txt",266,0.336931338435254
"26610","1787_Heinse,Johann_Ardinghello_Novel_84000.txt",266,0.429902806813071
