"","X","source","target","weight","count.source","count.target","count.diff","abs.diff","page.diff","roll.mean"
"199",199,"1881_0042600.txt","1881_0025800.txt",17.9333555999378,300,300,0,0,56,63.75
"201",201,"1881_0042900.txt","1881_0006000.txt",16.0295909109438,300,300,0,0,123,64.35
"202",202,"1881_0043200.txt","1881_0007800.txt",17.1637693951448,300,300,0,0,118,65.25
"204",204,"1881_0043500.txt","1881_0004200.txt",22.6754126070795,300,300,0,0,131,62.6
"206",206,"1881_0043800.txt","1881_0030000.txt",30.2676308049572,299,300,-0.00334448160535117,0.00334448160535117,46,64
"207",207,"1881_0044100.txt","1881_0030000.txt",28.7685448314749,300,300,0,0,47,66.05
"208",208,"1881_0044400.txt","1881_0001200.txt",28.1168962882588,300,300,0,0,144,68.15
"210",210,"1881_0044700.txt","1881_0044100.txt",28.3691769596894,300,300,0,0,2,70.25
"211",211,"1881_0045000.txt","1881_0018300.txt",21.1672679167282,300,300,0,0,89,67.45
"213",213,"1881_0045300.txt","1881_0029700.txt",8.92256029185607,300,300,0,0,52,64.15
"215",215,"1881_0045600.txt","1881_0043800.txt",25.5284973804608,300,299,0.00334448160535117,0.00334448160535117,6,65.15
"216",216,"1881_0045900.txt","1881_0022800.txt",29.4073061283941,299,300,-0.00334448160535117,0.00334448160535117,77,63.7
"217",217,"1881_0046200.txt","1881_0009600.txt",19.7163995961794,300,300,0,0,122,61.2
"218",218,"1881_0046500.txt","1881_0045900.txt",21.0416683347349,300,299,0.00334448160535117,0.00334448160535117,2,59.05
"220",220,"1881_0046800.txt","1881_0018900.txt",34.4640673306562,300,300,0,0,93,60.3
"221",221,"1881_0047100.txt","1881_0033600.txt",32.0081237154517,299,300,-0.00334448160535117,0.00334448160535117,45,58
"223",223,"1881_0047400.txt","1881_0021900.txt",17.9727125935899,299,300,-0.00334448160535117,0.00334448160535117,85,50.85
"225",225,"1881_0047700.txt","1881_0034800.txt",16.5556171811383,300,300,0,0,43,58.85
"227",227,"1881_0048000.txt","1881_0047700.txt",37.7017003767859,300,300,0,0,1,54.45
"228",228,"1881_0048300.txt","1881_0048000.txt",39.2457131835579,300,300,0,0,1,57.3
"230",230,"1881_0048600.txt","1881_0025800.txt",30.182624993943,300,300,0,0,76,61.1
"231",231,"1881_0048900.txt","1881_0020700.txt",29.9333490313892,300,300,0,0,94,57.3
"233",233,"1881_0049200.txt","1881_0028800.txt",22.8048702582612,300,300,0,0,68,57.2
"235",235,"1881_0049500.txt","1881_0023100.txt",27.6449550312068,300,300,0,0,88,60.05
"236",236,"1881_0049800.txt","1881_0028500.txt",22.2600058440964,300,300,0,0,71,60.05
"238",238,"1881_0050100.txt","1881_0049800.txt",23.2973368945666,299,300,-0.00334448160535117,0.00334448160535117,1,60.85
"239",239,"1881_0050400.txt","1881_0050100.txt",28.3347348668421,300,299,0.00334448160535117,0.00334448160535117,1,64.4
"240",240,"1881_0050700.txt","1881_0002100.txt",23.3100050200721,299,299,0,0,162,65.55
"241",241,"1881_0051000.txt","1881_0050700.txt",21.2777320236108,300,299,0.00334448160535117,0.00334448160535117,1,70.25
"242",242,"1881_0051300.txt","1881_0018600.txt",22.6871956683259,299,300,-0.00334448160535117,0.00334448160535117,109,70.25
"243",243,"1881_0051600.txt","1881_0027000.txt",18.6521793703179,300,300,0,0,82,71.3
"244",244,"1881_0051900.txt","1881_0051600.txt",18.9448969803204,300,300,0,0,1,66.75
