"","source","target","weight","count.source","count.target","count.diff","abs.diff","date.diff"
"93","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am sechtzehnten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dritten Sonntage nach Pfingsten.txt",29.8852914998516,425,358,0.187150837988827,0.187150837988827,0
"94","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am siebenten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dreiundzwanzigsten Sonntage nach Pfingsten.txt",36.8978542100331,518,354,0.463276836158192,0.463276836158192,0
"95","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am siebenundzwanzigsten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach Ostern.txt",28.9486536978499,532,369,0.441734417344173,0.441734417344173,0
"96","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am siebenzehnten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach Ostern.txt",41.8920341617388,414,369,0.121951219512195,0.121951219512195,0
"97","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am siebenzehnten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Pfingstmontage.txt",41.5302413558128,414,305,0.357377049180328,0.357377049180328,0
"98","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Sonntage nach Weihnachten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am siebenzehnten Sonntage nach Pfingsten.txt",36.3998327302785,379,414,-0.0923482849604222,0.0923482849604222,0
"99","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage im Advent.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am siebenzehnten Sonntage nach Pfingsten.txt",32.0832641156293,366,414,-0.131147540983607,0.131147540983607,0
"100","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage im Advent.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach Ostern.txt",31.3957393612357,366,369,-0.00819672131147541,0.00819672131147541,0
"101","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage nach Ostern.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach Ostern.txt",42.0546357975244,267,369,-0.382022471910112,0.382022471910112,0
"102","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am sechsten Sonntage nach Pfingsten.txt",46.2465699629338,288,376,-0.305555555555556,0.305555555555556,0
"103","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierundzwanzigsten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am neunzehnten Sonntage nach Pfingsten.txt",37.4570068119181,385,351,0.0968660968660969,0.0968660968660969,0
"104","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierzehnten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach Ostern.txt",42.9309397647733,359,369,-0.0278551532033426,0.0278551532033426,0
"105","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Weihnachtstage.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Pfingstsonntage.txt",19.0604580343637,428,263,0.627376425855513,0.627376425855513,0
"106","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zehnten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am sechsten Sonntage nach Pfingsten.txt",39.1065566107849,347,376,-0.0835734870317003,0.0835734870317003,0
"107","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zwanzigsten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am achten Sonntage nach Pfingsten.txt",44.0725075517805,441,347,0.270893371757925,0.270893371757925,0
"108","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zweiten Sonntage im Advent.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Fastnacht.txt",39.9505240142532,330,422,-0.278787878787879,0.278787878787879,20
"109","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zweiten Sonntage nach Ostern.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierundzwanzigsten Sonntage nach Pfingsten.txt",43.5015930435619,382,385,-0.00785340314136126,0.00785340314136126,0
"110","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zweiten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zehnten Sonntage nach Pfingsten.txt",37.7865666019189,283,347,-0.226148409893993,0.226148409893993,0
"111","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zweiten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am sechsten Sonntage nach Pfingsten.txt",37.091490188601,283,376,-0.328621908127208,0.328621908127208,0
