,word,freq.a,freq.b,med.a,med.b,wilcox.p,MI.results,G1,G2,fisher.OR,fisher.p,med.ratio,dictionary
11,lack,3.6887116959,2.9472874655,3,1,0.0015765591,1.53308555957353e-07,16.1786791761,16.1786791991,1.2515706883,5.6407490720154e-05,3,discrep
26,regret,9.2856530353,8.1211934546,8,5,8.25592687000677e-05,1.4281609279144e-07,15.071407687,15.0714076935,1.1434222905,0.0001022171,1.6,discrep
30,undo,0.7585013227,0.4970130633,1,0,4.37446234940437e-05,1.03170033546992e-07,10.8875519895,10.8875520045,1.5261225491,0.000980377,Inf,discrep
21,outstand,0.1437160401,0.0596415676,0,0,0.1947195422,7.02737039000221e-08,7.4159964766,7.4159964813,2.4096728472,0.0059585509,NA,discrep
12,liabil,0.2235582846,0.1192831352,0,0,0.0208775165,6.1759371230698e-08,6.517477433,6.5174774391,1.8741137655,0.0100443959,NA,discrep
10,inadequ,0.5189745892,0.3578494056,0,0,5.87116837295133e-05,5.57361235050821e-08,5.8818430217,5.8818430345,1.4502613634,0.0146038109,NA,discrep
29,undesir,0.1836371623,0.0969175473,0,0,0.0010333265,5.22787407945554e-08,5.5169848319,5.5169848217,1.8946946612,0.0168300989,NA,discrep
162,think,154.9258912271,92.0741550449,158,61,6.94278607340091e-15,3.07203932392438e-05,3241.9285667572,3241.9285667674,1.6836777272,0,2.5901639344,insight
109,know,183.740957267,133.6219620729,232,94.5,1.26506396183727e-12,1.48275488069845e-05,1564.7538649059,1564.7538649048,1.3757704839,0,2.455026455,insight
135,realiz,5.4053199526,0.1714695068,1.5,0,1.14038791767437e-50,1.44483370232586e-05,1524.7355778668,1524.7355778685,31.5268550147,0,Inf,insight
164,thought,139.8756281389,108.0481548999,150.5,76,5.11062418814375e-13,7.59902383837324e-06,801.9263382809,801.9263382898,1.2949798422,2.01586125238697e-176,1.9802631579,insight
155,seem,120.0108777074,91.9374764525,146.5,62.5,9.07500416274219e-16,6.92086167072108e-06,730.3597640048,730.3597640246,1.3057198063,7.62441809571439e-161,2.344,insight
90,felt,64.8079498603,47.0472565736,68,32,2.93620693582918e-12,5.27888312009647e-06,557.0814753027,557.081475305,1.3777518457,3.75319706945841e-123,2.125,insight
156,sens,31.3939705373,19.6146205438,29.5,13,1.36825982759862e-13,5.18587212090493e-06,547.2660079856,547.2660080043,1.6007268006,4.84655007938135e-121,2.2692307692,insight
89,feel,86.0459868972,66.6519368562,84.5,45,7.77100427588205e-10,4.57761092307708e-06,483.0760955173,483.0760955271,1.2912253897,4.78219618565993e-107,1.8777777778,insight
118,meant,15.0263104148,7.8378960085,14,5,2.35168985751397e-17,4.41560713235257e-06,465.9798066347,465.9798066552,1.9171740415,2.17738500007526e-103,2.8,insight
140,recogn,3.7765381648,0.8548624689,2,0,7.46388170519826e-41,4.11995984998152e-06,434.7800963177,434.7800963214,4.4173037323,2.12488212306733e-96,Inf,insight
67,conscious,18.1641106237,10.4521847216,16.5,6,1.51484106234442e-14,4.00541015504929e-06,422.6916466079,422.6916466254,1.7379612325,5.78053624229154e-94,2.75,insight
149,rememb,38.1645928708,26.5578930384,44.5,18,6.10167709257139e-14,3.91502375467048e-06,413.1531536887,413.1531537046,1.4372000845,7.2258572650339e-92,2.4722222222,insight
53,believ,57.4544791419,43.6576274818,58.5,28,4.20482688432365e-09,3.50527742809828e-06,369.9125509028,369.9125509266,1.3162052223,1.91834956163065e-82,2.0892857143,insight
97,idea,30.2681948898,21.0161973824,32.5,14,7.37256017861387e-10,3.14012432596702e-06,331.3778790539,331.3778790614,1.4403643566,5.05241468320844e-74,2.3214285714,insight
108,knew,65.6303249787,51.7962163936,71.5,37,1.9604098964688e-13,3.02201674404014e-06,318.9139649089,318.9139649175,1.2672624644,2.48261741715048e-71,1.9324324324,insight
132,question,36.4400003896,27.1493385837,34,19.5,2.43409553851344e-10,2.53264163120475e-06,267.2701221499,267.2701221512,1.3423301891,4.45069907385633e-60,1.7435897436,insight
167,understand,28.3759336952,20.7254447403,30,13,1.46020125779526e-11,2.22905479339259e-06,235.2325491088,235.2325491185,1.3692394032,4.47738474184976e-53,2.3076923077,insight
73,decid,14.4753989278,9.5973222527,13.5,6,6.71117788029518e-10,1.87002841007112e-06,197.3444309736,197.3444309799,1.508347459,8.24639518661099e-45,2.25,insight
117,mean,64.2730068222,54.3011622327,71,39,3.21064857857269e-08,1.54369278182261e-06,162.9061740433,162.9061740431,1.1837948638,2.72925009801553e-37,1.8205128205,insight
126,percept,3.8164592871,1.9656866654,2.5,1,2.44675548547778e-08,1.15944794398151e-06,122.3567478991,122.3567479101,1.9416904325,1.86280772519445e-28,2.5,insight
86,explain,13.6290711361,9.9054703519,13,7,7.49287989677442e-07,1.10218423747481e-06,116.3136987535,116.3136987695,1.3759643309,4.01719209056025e-27,1.8571428571,insight
168,understood,10.6908765385,7.7310381999,10,4,1.0020526519815e-12,8.90186899824618e-07,93.9415819838,93.9415819918,1.3828917671,3.22680036057985e-22,2.5,insight
46,appreci,4.2396231829,2.5347666229,3,1,3.20871890857029e-06,8.22536685719115e-07,86.8024428601,86.8024428555,1.6726152808,1.33020705281257e-20,3,insight
107,justifi,4.2396231829,2.5397367536,4,1,6.14709550200465e-07,8.16934971470588e-07,86.2112929396,86.2112929537,1.6693432554,1.46499770693173e-20,4,insight
124,notic,18.6032429684,14.8855412464,19.5,10,2.26659614438238e-09,7.63796215450651e-07,80.6035505771,80.6035505722,1.2497988626,2.78764679421035e-19,1.95,insight
60,complex,0.7664855472,0.19632016,0,0,1.12759611916393e-14,7.39046537783933e-07,77.9917126903,77.9917126826,3.9040714697,1.07861461767933e-18,NA,insight
52,belief,5.6448466861,3.956223984,4,2,8.07194633204222e-06,5.57992273378955e-07,58.8850239448,58.8850239323,1.4268503164,1.7503421508753e-14,2,insight
49,awar,10.4673182539,8.1684096956,9,5,4.5204302605676e-05,5.2624651121703e-07,55.5348880048,55.5348880006,1.2814681855,9.71702372760341e-14,1.8,insight
45,answer,74.6684670561,68.2945650304,67.5,39,2.61069024670794e-06,5.1903063122006e-07,54.7733948918,54.7733949001,1.0934121909,1.3564497720176e-13,1.7307692308,insight
91,figur,19.944592676,16.8040116708,20,11,1.08211185946315e-09,4.94001368379017e-07,52.1320523361,52.1320523373,1.1869675537,5.11727177751603e-13,1.8181818182,insight
116,logic,1.3014285853,0.6162961985,0,0,3.69422581757138e-05,4.84993071744683e-07,51.1814051856,51.18140519,2.1117635719,7.9203332838449e-13,NA,insight
40,adjust,2.0120245614,1.1257345884,1,0,2.8899930023075e-06,4.84270376728279e-07,51.105139052,51.1051390563,1.7873067105,9.55833353352263e-13,Inf,insight
74,decis,5.3733830548,3.8344557835,6,2,1.33003730838531e-08,4.82194750706962e-07,50.8860978469,50.8860978728,1.4013627694,9.89996673352836e-13,3,insight
61,complic,1.6527344611,0.8772280568,1,0,3.41481568205236e-07,4.63253373700946e-07,48.8872109816,48.8872109858,1.8839797063,3.21755496094555e-12,Inf,insight
63,concentr,1.6926555834,0.9468098856,1,0,1.97899801665178e-07,4.07710433614743e-07,43.025754599,43.0257546318,1.7877506546,5.26358840807162e-11,Inf,insight
146,refer,5.9242945419,4.4756026352,4,2,0.0002084313,3.75823398214881e-07,39.6607101065,39.6607101102,1.3237052956,2.94174830037931e-10,2,insight
