authors,Freq
"Paulding, James Kirke (1778-1860)",1
"Pausewang, Gudrun (1928-  )",1
"Payne, John Howard (1791-1852)",1
"Paz, Octavio (1914-1998)",1
"Pearce, Philippa (1920-2006)",1
"Pelagius, Alvarus (1280?-1353)",1
"Pfeil, Johann Gottlieb Benjamin (1732-1800)",1
"Pirandello, Luigi (1867-1936)",1
"Plath, Sylvia (1932-1963)",1
Plautus (254?-184 B.C.),1
Plotinus (205-262),1
"Ponge, Francis (1899-1988)",1
"Porter, Bern (1911-  )",1
"Porter, Jane (1776-1850)",1
"Porter, William Trotter (1809-1858)",1
"Pratt, E. J. (1882-1964)",1
"Prezzolini, Giuseppe (1882-1982)",1
"Prior, Matthew (1664-1721)",1
"Propp, Vladimir Iakovlevich (1895-1970)",1
"Purdy, Alfred W. (1918-2000)",1
"Purdy, James (1923-2009)",1
"Pushkin, Aleksandr Sergeevich (1799-1837)",1
"Pynchon, Thomas (1937-  )",1
"Ray, William (1771-1827)",1
"Reaney, James (1926-2008)",1
"Reeves, James (1909-1978)",1
"Remarque, Erich Maria (1898-1970)",1
"Reynolds, John Hamilton (1794-1852)",1
"Richardson, Dorothy Miller (1873-1957)",1
"Richardson, Jack (1935-  )",1
"Robbe-Grillet, Alain (1922-2008)",1
"Rodríguez Alvarez, Alejandro (1903-1965)",1
"Rolfe, Frederick William (1860-1913)",1
"Rossetti, William Michael (1829-1919)",1
"Roth, Philip (1933-  )",1
"Rowley, William (1585?-1642)",1
"Ruskin, John (1819-1900)",1
"Sackville, Thomas, 1st Earl of Dorset and Baron Buckhurst (1536-1608)",1
"Saint-Amant, Marc-Antoine de Gérard, sieur de (1594-1661)",1
"Saint-Réal, César, abbé de (1639-1692)",1
"Saint-Simon, Louis de Rouvroy, duc de (1675-1755)",1
"Salinger, J. D. (1919-2010)",1
