"source","target","weight","type"
"see","without",227,"undirected"
"feel","without",168,"undirected"
"think","without",241,"undirected"
"look","without",277,"undirected"
"mind","without",37,"undirected"
"see","david",57,"undirected"
"feel","david",27,"undirected"
"think","david",53,"undirected"
"look","david",112,"undirected"
"mind","david",17,"undirected"
"see","deep",120,"undirected"
"feel","deep",155,"undirected"
"think","deep",126,"undirected"
"look","deep",139,"undirected"
"mind","deep",43,"undirected"
"see","found",228,"undirected"
"feel","found",196,"undirected"
"think","found",323,"undirected"
"look","found",311,"undirected"
"mind","found",77,"undirected"
"see","led",73,"undirected"
"feel","led",36,"undirected"
"think","led",64,"undirected"
"look","led",83,"undirected"
"mind","led",8,"undirected"
"see","life",169,"undirected"
"feel","life",206,"undirected"
"think","life",239,"undirected"
"look","life",165,"undirected"
"mind","life",60,"undirected"
"see","lrb",69,"undirected"
"feel","lrb",49,"undirected"
"think","lrb",84,"undirected"
"look","lrb",69,"undirected"
"mind","lrb",18,"undirected"
"see","man",541,"undirected"
"feel","man",270,"undirected"
"think","man",336,"undirected"
"look","man",554,"undirected"
"mind","man",77,"undirected"
"see","none",56,"undirected"
"feel","none",37,"undirected"
"think","none",49,"undirected"
"look","none",52,"undirected"
"mind","none",8,"undirected"
"see","proud",27,"undirected"
"feel","proud",27,"undirected"
"think","proud",18,"undirected"
"look","proud",25,"undirected"
"mind","proud",5,"undirected"
"see","quiet",89,"undirected"
"feel","quiet",74,"undirected"
"think","quiet",131,"undirected"
"look","quiet",153,"undirected"
"mind","quiet",25,"undirected"
"see","simpl",20,"undirected"
"feel","simpl",25,"undirected"
"think","simpl",27,"undirected"
"look","simpl",26,"undirected"
"mind","simpl",9,"undirected"
"feel","calmer",6,"undirected"
"think","calmer",6,"undirected"
"look","calmer",7,"undirected"
"see","clerk",7,"undirected"
"feel","clerk",3,"undirected"
"think","clerk",5,"undirected"
"look","clerk",10,"undirected"
"see","coffe",31,"undirected"
"feel","coffe",20,"undirected"
"think","coffe",58,"undirected"
"look","coffe",66,"undirected"
"mind","coffe",5,"undirected"
"see","counter",23,"undirected"
