file.id,mean.char,sd.char,collection
43352_CreeleyRobert_Love_1926.txt,3.8461538462,2.1446213184,hp
66138_FentonJames_Cambodia_1949.txt,3.641025641,1.2057692374,hp
47093_HughesTed_WildRock_1930.txt,5.3333333333,3.1420612692,hp
48046_HughesTed_WildRock_1930.txt,5.3333333333,3.1420612692,hp
66054_AllnuttGillian_SpringNewcastle_1949.txt,3.9178082192,1.639388645,hp
40764_HolubMiroslav_Thejesters_1923.txt,4.88,2.7945893669,hp
64523_NorrisKathleen_VTruelove_1947.txt,4.2266666667,1.9282630003,hp
46891_HughesTed_Hismothercovershereyes_1930.txt,4.8831168831,2.2181905023,hp
20333_WheelwrightJohn_STATEOFMAINE_1897.txt,4.2580645161,2.0076532575,hp
57550_PlumppSterling_Ritual_1940.txt,3.8815789474,1.8759325166,hp
74912_BlancoRichard_ElJuan_1968.txt,4.1578947368,1.8406711209,hp
38207_HallJCJohnClive_HALFWAYPLACES_1920.txt,4.5285714286,2.3139240062,hp
31935_RukeyserMuriel_RECOVERING_1913.txt,4.3733333333,2.3697036725,hp
62372_PalmerMichael_HolyTuesday_1943.txt,4.3378378378,1.7694285667,hp
48882_RothenbergJerome_TREESPIRITEVENTSZohar_1931.txt,4.1756756757,1.9887223689,hp
35621_MerriamEve_PeopleinaSecondAnalysis_1916.txt,3.9333333333,2.1266223272,hp
67644_JacksonAngela_DementiaDexter_1951.txt,3.7746478873,2.0367844623,hp
54581_SanchezSonia_AfricaPoemNo_1935.txt,4.8783783784,2.6273206452,hp
35609_MerriamEve_OrganizationMan_1916.txt,3.3378378378,1.7925036216,hp
64363_SalaamKalamuya_House_1947.txt,4.5,2.245496275,hp
71193_McMillanIan_GeorgeandJoeonaBenchWindSymmetry_1956.txt,3.9324324324,2.0429033937,hp
34489_StaffordWilliam_Maybe_1914.txt,4.3472222222,1.5669088815,hp
9072_StevensWallace_CONTRARYTHESESI_1879.txt,4.4931506849,1.8266794987,hp
71006_SmartHarry_AfterBosnia_1956.txt,4.6231884058,2.1358387888,hp
71132_McMillanIan_KakeYourselfComfortable_1956.txt,3.9166666667,2.0811020916,hp
71244_McMillanIan_InsightFiveRidiculousOldYorkshireSayingsAboutGlasses_1956.txt,4.1470588235,1.862951485,hp
28811_PatchenKenneth_NowifYou_1911.txt,4.1492537313,1.8849783484,hp
18459_TaggardGenevieve_ToTwoYoungMenWhoCommittedSuicideinParisin_1894.txt,3.9,1.810997003,hp
57534_PlumppSterling_LensforBlackEyes_1940.txt,4.7042253521,2.6478798322,hp
46379_FisherRoy_FromtheTownGuide_1930.txt,4.1126760563,2.2331866775,hp
28797_PatchenKenneth_EncounteratNightfall_1911.txt,5,2.1760730957,hp
35588_MerriamEve_CocktailParties_1916.txt,3.3285714286,1.6216061869,hp
67596_JacksonAngela_auntbeebee_1951.txt,4.4264705882,2.2941598564,hp
32922_IgnatowDavid_TWOFRIENDS_1914.txt,3.6774193548,1.9057651408,hp
28621_PatchenKenneth_ToBeHolyBeWhollyYourOwn_1911.txt,3.8428571429,1.6649473534,hp
53422_KellyRobert_TheGoddess_1935.txt,5.5428571429,2.6302901933,hp
57606_PlumppSterling_ONATRAY_1940.txt,5.2058823529,2.3975038233,hp
67687_WaringBelle_CutOff_1951.txt,4.1884057971,1.8492873215,hp
