"","date","means","variable","date.adj"
"exclam25","1893",0.00688772570103093,"exclam",1928
"exclam.line25","1893",0.0549387731958763,"exclam.line",1928
"period25","1893",0.045307420628866,"period",1928
"period.line25","1893",0.35830455257732,"period.line",1928
"comma25","1893",0.0896318015876289,"comma",1928
"comma.line25","1893",0.71920156556701,"comma.line",1928
"total25","1893",0.169783227319588,"total",1928
"total.line25","1893",1.35551399587629,"total.line",1928
"total.words26","1894",149.257748776509,"total.words",1929
"no.lines26","1894",22.0755845568244,"no.lines",1929
"quest26","1894",0.00367108519244154,"quest",1929
"quest.line26","1894",NA,"quest.line",1929
"exclam26","1894",0.00251153077373573,"exclam",1929
"exclam.line26","1894",NA,"exclam.line",1929
"period26","1894",0.0344947976693855,"period",1929
"period.line26","1894",Inf,"period.line",1929
"comma26","1894",0.0493084356530723,"comma",1929
"comma.line26","1894",NA,"comma.line",1929
"total26","1894",0.129798422617727,"total",1929
"total.line26","1894",Inf,"total.line",1929
"total.words27","1895",211.006830601093,"total.words",1930
"no.lines27","1895",27.4303278688525,"no.lines",1930
"quest27","1895",0.00731093759282787,"quest",1930
"quest.line27","1895",NA,"quest.line",1930
"exclam27","1895",0.00413432948777322,"exclam",1930
"exclam.line27","1895",NA,"exclam.line",1930
"period27","1895",0.0329225853135246,"period",1930
"period.line27","1895",Inf,"period.line",1930
"comma27","1895",0.0888148648565574,"comma",1930
"comma.line27","1895",Inf,"comma.line",1930
"total27","1895",0.152814921762978,"total",1930
"total.line27","1895",Inf,"total.line",1930
"total.words28","1896",145.302325581395,"total.words",1931
"no.lines28","1896",20.4883720930233,"no.lines",1931
"quest28","1896",0.00618453456976744,"quest",1931
"quest.line28","1896",0.040823306627907,"quest.line",1931
"exclam28","1896",0.00790437297674419,"exclam",1931
"exclam.line28","1896",0.0541810019767442,"exclam.line",1931
"period28","1896",0.0289621954767442,"period",1931
"period.line28","1896",0.208677143953488,"period.line",1931
"comma28","1896",0.0851479831395349,"comma",1931
"comma.line28","1896",0.606595316627907,"comma.line",1931
"total28","1896",0.136380695465116,"total",1931
"total.line28","1896",0.970666403953488,"total.line",1931
"total.words29","1897",288.680412371134,"total.words",1932
"no.lines29","1897",41.9317010309278,"no.lines",1932
"quest29","1897",0.00413247424484536,"quest",1932
"quest.line29","1897",0.0302356499407216,"quest.line",1932
"exclam29","1897",0.00402158350979381,"exclam",1932
"exclam.line29","1897",0.0291356761597938,"exclam.line",1932
"period29","1897",0.0371243341391753,"period",1932
"period.line29","1897",0.266848445309278,"period.line",1932
"comma29","1897",0.0875521605309278,"comma",1932
"comma.line29","1897",0.639247191314433,"comma.line",1932
"total29","1897",0.162577558376289,"total",1932
"total.line29","1897",1.1785223742268,"total.line",1932
"total.words30","1898",291.576190476191,"total.words",1933
"no.lines30","1898",40.5476190476191,"no.lines",1933
"quest30","1898",0.00381423538571429,"quest",1933
"quest.line30","1898",NA,"quest.line",1933
