X,segment,ttr,ant1,ant2,syn1,syn2,ant.syn1,ant.syn2
137,68500,0.5587628866,0.0001676221,0.0593047035,0.0010895437,0.18200409,0.1538461538,0.3258426966
138,69000,0.5571428571,0.0001303356,0.0383064516,0.0010997067,0.1975806452,0.1185185185,0.193877551
139,69500,0.5743380855,6.43857997119e-05,0.0280561122,0.000643858,0.1382765531,0.1,0.2028985507
140,70000,0.6234567901,0.0001095762,0.0395256917,0.000540054,0.1600790514,0.2028985507,0.2469135802
141,70500,0.58004158,0.0001418972,0.0510204082,0.0006594049,0.1551020408,0.2151898734,0.3289473684
142,71000,0.6183673469,6.51678071033e-05,0.0161290323,0.0005539264,0.0766129032,0.1176470588,0.2105263158
143,71500,0.5460122699,0.0001226843,0.0464646465,0.0006952112,0.1535353535,0.1764705882,0.3026315789
144,72000,0.6180698152,9.77517106549e-05,0.0282258065,0.0009204953,0.185483871,0.1061946903,0.152173913
145,72500,0.5790554415,9.18158674513e-05,0.0204081633,0.0008013021,0.1571428571,0.1145833333,0.1298701299
146,73000,0.5915492958,0.0001510922,0.0478087649,0.0013995913,0.2091633466,0.1079545455,0.2285714286
147,73500,0.5397148676,0.0002693005,0.0656063618,0.0012910584,0.2226640159,0.2085889571,0.2946428571
148,74000,0.5598377282,8.71266425352e-05,0.0258449304,0.0009663137,0.1729622266,0.0901639344,0.1494252874
149,74500,0.5553278689,5.7484951261e-05,0.020242915,0.0006898194,0.1740890688,0.0833333333,0.1162790698
150,75000,0.5496957404,0.0001784903,0.0663983903,0.0011115078,0.2414486922,0.1605839416,0.275
151,75500,0.5422680412,0.0003088352,0.0428571429,0.0009932807,0.2346938776,0.3109243697,0.1826086957
152,76000,0.6316872428,0.0001888791,0.0587044534,0.0008951228,0.1720647773,0.2110091743,0.3411764706
153,76500,0.6342975207,0.0001508599,0.0388548057,0.0008045861,0.18200409,0.1875,0.2134831461
154,77000,0.4745417515,8.99685110211e-05,0.0343434343,0.0013249908,0.2282828283,0.0679012346,0.1504424779
155,77500,0.5814889336,3.09391581455e-05,0.0157170923,0.0004640874,0.1001964637,0.0666666667,0.1568627451
156,78000,0.4869215292,0.0001207234,0.0420841683,0.0005633757,0.1663326653,0.2142857143,0.2530120482
157,78500,0.503006012,0.0001900945,0.0636182903,0.0005782041,0.1371769384,0.3287671233,0.4637681159
158,79000,0.5734989648,4.98773847625e-05,0.016293279,0.0003491417,0.1018329939,0.1428571429,0.16
