filenames,synonymy,total.words,ttr
00000192_72500.txt,0.2109533469,495,0.5636363636
00000192_77000.txt,0.2057026477,493,0.5517241379
00000192_81500.txt,0.2162162162,483,0.5859213251
00000192_86000.txt,0.2081545064,467,0.4453961456
00000192_90500.txt,0.2130801688,476,0.5504201681
00000192_95000.txt,0.1936758893,506,0.54743083
00000208_1.txt,0.2862823062,504,0.4464285714
00000208_41000.txt,0.2016460905,486,0.5082304527
00000208_45500.txt,0.1848906561,503,0.4970178926
00000208_5000.txt,0.2197125257,488,0.512295082
00000208_54500.txt,0.2405857741,480,0.50625
00000208_59000.txt,0.1761133603,499,0.5511022044
00000208_8000.txt,0.2024291498,498,0.4879518072
00000217_12000.txt,0.1967213115,493,0.5943204868
00000217_16500.txt,0.1615541922,493,0.5882352941
00000217_21000.txt,0.1618257261,485,0.593814433
00000217_25500.txt,0.1422680412,489,0.5746421268
00000217_30000.txt,0.1547861507,499,0.6152304609
00000217_3500.txt,0.194092827,475,0.5747368421
00000217_39500.txt,0.1419624217,481,0.5862785863
00000217_44000.txt,0.2074688797,486,0.5411522634
00000217_8500.txt,0.1559251559,485,0.5835051546
00000223_12500.txt,0.1659751037,486,0.5596707819
00000223_17000.txt,0.1792260692,493,0.5415821501
00000223_21500.txt,0.2042553191,472,0.5084745763
00000223_26000.txt,0.1982570806,462,0.5281385281
00000223_30500.txt,0.2947154472,492,0.5081300813
00000223_35000.txt,0.2394067797,478,0.4979079498
00000223_4000.txt,0.2262931034,465,0.5397849462
00000223_44500.txt,0.2784552846,496,0.5584677419
00000223_49000.txt,0.2821052632,476,0.5042016807
00000223_53000.txt,0.2145833333,480,0.5375
00000223_57500.txt,0.1886409736,493,0.523326572
00000223_62000.txt,0.26124197,468,0.4764957265
00000223_66500.txt,0.1878787879,495,0.5919191919
00000227_13500.txt,0.194,506,0.4980237154
00000227_18000.txt,0.2749003984,505,0.4336633663
00000227_22500.txt,0.2763419483,507,0.483234714
00000227_27000.txt,0.164,512,0.48828125
00000227_31500.txt,0.2734530938,501,0.5109780439
00000227_36000.txt,0.1972111554,510,0.4901960784
00000227_40500.txt,0.1968190855,507,0.540433925
00000227_45000.txt,0.2529880478,505,0.4871287129
00000227_500.txt,0.274,506,0.4604743083
00000227_54000.txt,0.2934131737,501,0.4650698603
00000227_58500.txt,0.2281746032,504,0.5079365079
00000227_63000.txt,0.1996007984,510,0.4823529412
00000227_67500.txt,0.2797619048,506,0.4881422925
00000227_72000.txt,0.2211155378,507,0.4654832347
00000230_103500.txt,0.2091633466,505,0.5405940594
00000230_108000.txt,0.2829076621,515,0.5339805825
00000230_112500.txt,0.258382643,510,0.5176470588
00000230_117000.txt,0.256,501,0.4930139721
00000230_121500.txt,0.3001988072,505,0.5405940594
00000230_126000.txt,0.2118811881,506,0.5059288538
00000230_130500.txt,0.1643286573,512,0.375
00000230_16000.txt,0.255952381,509,0.5068762279
00000230_20500.txt,0.255952381,506,0.5138339921
00000230_25000.txt,0.2233201581,506,0.5177865613
00000230_3000.txt,0.3168316832,506,0.5118577075
00000230_34500.txt,0.2783300199,503,0.5407554672
00000230_39000.txt,0.2831683168,507,0.4970414201
00000230_43500.txt,0.2055335968,511,0.518590998
00000230_7500.txt,0.2023809524,505,0.5603960396
00000230_79500.txt,0.2315369261,504,0.5376984127
00000230_84000.txt,0.2341269841,507,0.4970414201
00000230_88500.txt,0.2295409182,507,0.5325443787
00000230_93000.txt,0.2071713147,506,0.4940711462
00000230_97500.txt,0.266798419,508,0.5137795276
00000244_11500.txt,0.1567460317,505,0.4732673267
00000244_16000.txt,0.2105263158,515,0.545631068
00000244_20500.txt,0.1689860835,507,0.5463510848
00000244_25000.txt,0.2127659574,526,0.4923954373
00000244_3000.txt,0.1600790514,508,0.5492125984
00000244_34500.txt,0.144486692,532,0.4661654135
00000244_39000.txt,0.1952662722,516,0.5639534884
00000244_43500.txt,0.2775665399,533,0.4765478424
00000246_33000.txt,0.2331932773,478,0.5543933054
00000246_37500.txt,0.2494845361,488,0.5409836066
00000246_8500.txt,0.2044989775,489,0.527607362
00000248_12500.txt,0.1882591093,494,0.5344129555
00000248_17000.txt,0.2183673469,494,0.487854251
00000248_21500.txt,0.1730382294,497,0.5110663984
00000248_26000.txt,0.2515463918,488,0.4959016393
00000248_30500.txt,0.2012448133,486,0.5185185185
00000248_35000.txt,0.2147239264,490,0.5326530612
00000248_4000.txt,0.199195171,499,0.5691382766
00000248_44500.txt,0.230125523,483,0.5155279503
00000248_49000.txt,0.1829268293,493,0.4847870183
00000248_53000.txt,0.1777301927,469,0.473347548
00000248_8500.txt,0.1629778672,498,0.5220883534
00000248_89500.txt,0.1910569106,496,0.5443548387
00000248_94000.txt,0.2551440329,488,0.5553278689
00000248_98500.txt,0.0942622951,489,0.591002045
00000252_102000.txt,0.2435643564,504,0.494047619
